,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
237,1399,Black Strap, Standard,TXOR WAVE,,No
238,299,White Strap, M,MVS Multicolor,,No
239,833,Black Strap, Regular,Sai Collections,,No
240,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
241,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
242,849,Black Strap, Free Size,CALLIE a1,,No
243,708,black Strap, Free Size,SAMSTAR COLLECTION,,No
244,899,Blue Strap, free,Lastpoint Mobile,,No
245,0,Black Strap, Free,Gazzet 4G,,Yes
246,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
247,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
248,740,black Strap, Free Size,PS COLLECTION,,No
249,699,Orange Strap, Free Size,firetouch Smart,,No
250,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
251,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
252,999,Black Strap, Free,I bond,,No
253,210,Black Strap, 22,isa creators,,No
254,699,Black Strap, Free Size,Dude T800,,No
255,1049,Black Strap, free,MOBIMOX smart,,No
256,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
257,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
258,897,Black Strap, Free size,Canvalls Certified,,No
259,1415,Pink Strap, Free Size,P U,,Yes
260,1299,Cream Strap, Free Size,Boult Striker,,Yes
261,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
262,649,Black Strap, REGULAR,STROMBUCKS Bluetooth,,No
263,879,Black Strap, Regular,Ocean I,,No
264,699,Black Strap, Free Size,BEST BOOST,,No
265,630,Pink Strap, Free Size,Wyltron Bluetooth,,Yes
266,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
267,2499,Black Strap, Free Size,Inbase FIT,1.78,No
268,299,Maroon Strap, M,MVS MVS,,No
269,331,MULTICOLOR Strap, kids,KYOKA Led,,No
270,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
271,2270,Silver Strap, Regular,AXL CZAR,1.81,No
272,879,Brown Strap,Brown Strap,Eleganz A2,,No
273,759,Free size,Free size,HLMT Teenagers,,No
274,269,Pink Strap, All,iSmart 69,,No
275,879,Black Strap, XL,ETN PKY_759V,,No
276,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
277,1399,Black Strap, Standard,TXOR WAVE,,No
278,699,Black Strap, Free Size,BEAT IT,,No
279,1489,Pink Strap, Free Size,VYGHA COLLECTION,,No
